"id","city_id","name","ibge_code"
"1","1","Alta Floresta D'Oeste","5"
"2","2","Alto Alegre dos Parecis","5"
"3","3","Alto Paraíso","5"
"4","4","Alvorada D'Oeste","5"
"5","5","Ariquemes","5"
"6","6","Buritis","5"
"7","7","Cabixi","5"
"8","8","Cacaulândia","5"
"9","9","Cacoal","5"
"10","10","Campo Novo de Rondônia","5"
"11","11","Candeias do Jamari","5"
"12","12","Castanheiras","5"
"13","13","Cerejeiras","5"
"14","14","Chupinguaia","5"
"15","15","Colorado do Oeste","5"
"16","16","Corumbiara","5"
"17","17","Costa Marques","5"
"18","18","Cujubim","5"
"19","19","Espigão D'Oeste","5"
"20","20","Governador Jorge Teixeira","5"
"21","21","Guajará-Mirim","5"
"22","22","Itapuã do Oeste","5"
"23","23","Jaru","5"
"24","24","Ji-Paraná","5"
"25","25","Machadinho D'Oeste","5"
"26","26","Ministro Andreazza","5"
"27","27","Mirante da Serra","5"
"28","28","Monte Negro","5"
"29","29","Nova Brasilândia D'Oeste","5"
"30","30","Nova Mamoré","5"
"31","31","Nova União","5"
"32","32","Novo Horizonte do Oeste","5"
"33","33","Ouro Preto do Oeste","5"
"34","34","Parecis","5"
"35","35","Pimenta Bueno","5"
"36","36","Pimenteiras do Oeste","5"
"37","37","Porto Velho","5"
"38","38","Presidente Médici","5"
"39","39","Primavera de Rondônia","5"
"40","40","Rio Crespo","5"
"41","41","Rolim de Moura","5"
"42","42","Santa Luzia D'Oeste","5"
"43","43","Sao Felipe D Oeste",""
"44","44","São Francisco do Guaporé","5"
"45","45","São Miguel do Guaporé","5"
"46","46","Seringueiras","5"
"47","47","Teixeirópolis","5"
"48","48","Theobroma","5"
"49","49","Urupá","5"
"50","50","Vale do Anari","5"
"51","51","Vale do Paraíso","5"
"52","52","Vilhena","5"
"53","53","Acrelândia","5"
"54","54","Assis Brasil","5"
"55","55","Brasiléia","5"
"56","56","Bujari","5"
"57","57","Capixaba","5"
"58","58","Cruzeiro do Sul","5"
"59","59","Epitaciolândia","5"
"60","60","Feijó","5"
"61","61","Jordão","5"
"62","62","Mâncio Lima","5"
"63","63","Manoel Urbano","5"
"64","64","Marechal Thaumaturgo","5"
"65","65","Plácido de Castro","5"
"66","66","Porto Acre","5"
"67","67","Porto Walter","5"
"68","68","Rio Branco","5"
"69","69","Rodrigues Alves","5"
"70","70","Santa Rosa do Purus","5"
"71","71","Sena Madureira","5"
"72","72","Senador Guiomard","5"
"73","73","Tarauacá","5"
"74","74","Xapuri","5"
"75","75","Alvarães","5"
"76","76","Amaturá","5"
"77","77","Anamã","5"
"78","78","Anori","5"
"79","79","Apuí","5"
"80","80","Atalaia do Norte","5"
"81","81","Autazes","5"
"82","82","Barcelos","5"
"83","83","Barreirinha","5"
"84","84","Benjamin Constant","5"
"85","85","Beruri","5"
"86","86","Boa Vista do Ramos","5"
"87","87","Boca do Acre","5"
"88","88","Borba","5"
"89","89","Caapiranga","5"
"90","90","Canutama","5"
"91","91","Carauari","5"
"92","92","Careiro","5"
"93","93","Careiro da Várzea","5"
"94","94","Coari","5"
"95","95","Codajás","5"
"96","96","Eirunepé","5"
"97","97","Envira","5"
"98","98","Fonte Boa","5"
"99","99","Guajará","5"
"100","100","Humaitá","5"
"101","101","Ipixuna","5"
"102","102","Iranduba","5"
"103","103","Itamarati","5"
"104","104","Itapiranga","5"
"105","105","Japurá","5"
"106","106","Juruá","5"
"107","107","Jutaí","5"
"108","108","Lábrea","5"
"109","109","Manacapuru","5"
"110","110","Manaquiri","5"
"111","111","Manaus","5"
"112","112","Manicoré","5"
"113","113","Maraã","5"
"114","114","Maués","5"
"115","115","Nhamundá","5"
"116","116","Nova Olinda do Norte","5"
"117","117","Novo Airão","5"
"118","118","Novo Aripuanã","5"
"119","119","Parintins","5"
"120","120","Pauini","5"
"121","121","Presidente Figueiredo","5"
"122","122","Rio Preto da Eva","5"
"123","123","Santa Isabel do Rio Negro","5"
"124","124","Santo Antônio do Içá","5"
"125","125","São Gabriel da Cachoeira","5"
"126","126","São Paulo de Olivença","5"
"127","127","São Sebastião do Uatumã","5"
"128","128","Silves","5"
"129","129","Tabatinga","5"
"130","130","Tapauá","5"
"131","131","Tefé","5"
"132","132","Tonantins","5"
"133","133","Uarini","5"
"134","134","Urucará","5"
"135","135","Urucurituba","5"
"136","136","Alto Alegre","5"
"137","137","Amajari","5"
"138","138","Boa Vista","5"
"139","139","Bonfim","5"
"140","140","Cantá","5"
"141","141","Caracaraí","5"
"142","142","Caroebe","5"
"143","143","Iracema","5"
"144","144","Mucajaí","5"
"145","145","Normandia","5"
"146","146","Pacaraima","5"
"147","147","Rorainópolis","5"
"148","148","São João da Baliza","5"
"149","149","São Luiz","5"
"150","150","Uiramutã","5"
"151","151","Abaetetuba","5"
"152","152","Abel Figueiredo","5"
"153","153","Acará","5"
"154","154","Afuá","5"
"155","155","Água Azul do Norte","5"
"156","156","Alenquer","5"
"157","157","Almeirim","5"
"158","158","Altamira","5"
"159","159","Anajás","5"
"160","160","Ananindeua","5"
"161","161","Anapu","5"
"162","162","Augusto Corrêa","5"
"163","163","Aurora do Pará","5"
"164","164","Aveiro","5"
"165","165","Bagre","5"
"166","166","Baião","5"
"167","167","Bannach","5"
"168","168","Barcarena","5"
"169","169","Belém","5"
"170","170","Belterra","5"
"171","171","Benevides","5"
"172","172","Bom Jesus do Tocantins","5"
"173","173","Bonito","5"
"174","174","Bragança","5"
"175","175","Brasil Novo","5"
"176","176","Brejo Grande do Araguaia","5"
"177","177","Breu Branco","5"
"178","178","Breves","5"
"179","179","Bujaru","5"
"180","180","Cachoeira do Arari","5"
"181","181","Cachoeira do Piriá","5"
"182","182","Cametá","5"
"183","183","Canaã dos Carajás","5"
"184","184","Capanema","5"
"185","185","Capitão Poço","5"
"186","186","Castanhal","5"
"187","187","Chaves","5"
"188","188","Colares","5"
"189","189","Conceição do Araguaia","5"
"190","190","Concórdia do Pará","5"
"191","191","Cumaru do Norte","5"
"192","192","Curionópolis","5"
"193","193","Curralinho","5"
"194","194","Curuá","5"
"195","195","Curuçá","5"
"196","196","Dom Eliseu","5"
"197","197","Eldorado dos Carajás","5"
"198","198","Faro","5"
"199","199","Floresta do Araguaia","5"
"200","200","Garrafão do Norte","5"
"201","201","Goianésia do Pará","5"
"202","202","Gurupá","5"
"203","203","Igarapé-Açu","5"
"204","204","Igarapé-Miri","5"
"205","205","Inhangapi","5"
"206","206","Ipixuna do Pará","5"
"207","207","Irituia","5"
"208","208","Itaituba","5"
"209","209","Itupiranga","5"
"210","210","Jacareacanga","5"
"211","211","Jacundá","5"
"212","212","Juruti","5"
"213","213","Limoeiro do Ajuru","5"
"214","214","Mãe do Rio","5"
"215","215","Magalhães Barata","5"
"216","216","Marabá","5"
"217","217","Maracanã","5"
"218","218","Marapanim","5"
"219","219","Marituba","5"
"220","220","Medicilândia","5"
"221","221","Melgaço","5"
"222","222","Mocajuba","5"
"223","223","Moju","5"
"224","224","Monte Alegre","5"
"225","225","Muaná","5"
"226","226","Nova Esperança do Piriá","5"
"227","227","Nova Ipixuna","5"
"228","228","Nova Timboteua","5"
"229","229","Novo Progresso","5"
"230","230","Novo Repartimento","5"
"231","231","Óbidos","5"
"232","232","Oeiras do Pará","5"
"233","233","Oriximiná","5"
"234","234","Ourém","5"
"235","235","Ourilândia do Norte","5"
"236","236","Pacajá","5"
"237","237","Palestina do Pará","5"
"238","238","Paragominas","5"
"239","239","Parauapebas","5"
"240","240","Pau D'Arco","5"
"241","241","Peixe-Boi","5"
"242","242","Piçarra","5"
"243","243","Placas","5"
"244","244","Ponta de Pedras","5"
"245","245","Portel","5"
"246","246","Porto de Moz","5"
"247","247","Prainha","5"
"248","248","Primavera","5"
"249","249","Quatipuru","5"
"250","250","Redenção","5"
"251","251","Rio Maria","5"
"252","252","Rondon do Pará","5"
"253","253","Rurópolis","5"
"254","254","Salinópolis","5"
"255","255","Salvaterra","5"
"256","256","Santa Bárbara do Pará","5"
"257","257","Santa Cruz do Arari","5"
"258","258","Santa Isabel do Para",""
"259","259","Santa Luzia do Pará","5"
"260","260","Santa Maria das Barreiras","5"
