"id","state_id","name","ibge_code"
"1","21","Alta Floresta D'oeste","1100015"
"2","21","Alto Alegre Dos Parecis","1100379"
"3","21","Alto Paraíso","1100403"
"4","21","Alvorada D'oeste","1100346"
"5","21","Ariquemes","1100023"
"6","21","Buritis","1100452"
"7","21","Cabixi","1100031"
"8","21","Cacaulândia","1100601"
"9","21","Cacoal","1100049"
"10","21","Campo Novo de Rondônia","1100700"
"11","21","Candeias do Jamari","1100809"
"12","21","Castanheiras","1100908"
"13","21","Cerejeiras","1100056"
"14","21","Chupinguaia","1100924"
"15","21","Colorado do Oeste","1100064"
"16","21","Corumbiara","1100072"
"17","21","Costa Marques","1100080"
"18","21","Cujubim","1100940"
"19","21","Espigão D'oeste","1100098"
"20","21","Governador Jorge Teixeira","1101005"
"21","21","Guajará-mirim","1100106"
"22","21","Itapuã do Oeste","1101104"
"23","21","Jaru","1100114"
"24","21","Ji-paraná","1100122"
"25","21","Machadinho D'oeste","1100130"
"26","21","Ministro Andreazza","1101203"
"27","21","Mirante da Serra","1101302"
"28","21","Monte Negro","1101401"
"29","21","Nova Brasilândia D'oeste","1100148"
"30","21","Nova Mamoré","1100338"
"31","21","Nova União","1101435"
"32","21","Novo Horizonte do Oeste","1100502"
"33","21","Ouro Preto do Oeste","1100155"
"34","21","Parecis","1101450"
"35","21","Pimenta Bueno","1100189"
"36","21","Pimenteiras do Oeste","1101468"
"37","21","Porto Velho","1100205"
"38","21","Presidente Médici","1100254"
"39","21","Primavera de Rondônia","1101476"
"40","21","Rio Crespo","1100262"
"41","21","Rolim de Moura","1100288"
"42","21","Santa Luzia D'oeste","1100296"
"43","21","São Felipe D'oeste","1101484"
"44","21","São Francisco do Guaporé","1101492"
"45","21","São Miguel do Guaporé","1100320"
"46","21","Seringueiras","1101500"
"47","21","Teixeirópolis","1101559"
"48","21","Theobroma","1101609"
"49","21","Urupá","1101708"
"50","21","Vale do Anari","1101757"
"51","21","Vale do Paraíso","1101807"
"52","21","Vilhena","1100304"
"53","1","Acrelândia","1200013"
"54","1","Assis Brasil","1200054"
"55","1","Brasiléia","1200104"
"56","1","Bujari","1200138"
"57","1","Capixaba","1200179"
"58","1","Cruzeiro do Sul","1200203"
"59","1","Epitaciolândia","1200252"
"60","1","Feijó","1200302"
"61","1","Jordão","1200328"
"62","1","Mâncio Lima","1200336"
"63","1","Manoel Urbano","1200344"
"64","1","Marechal Thaumaturgo","1200351"
"65","1","Plácido de Castro","1200385"
"66","1","Porto Acre","1200807"
"67","1","Porto Walter","1200393"
"68","1","Rio Branco","1200401"
"69","1","Rodrigues Alves","1200427"
"70","1","Santa Rosa do Purus","1200435"
"71","1","Sena Madureira","1200500"
"72","1","Senador Guiomard","1200450"
"73","1","Tarauacá","1200609"
"74","1","Xapuri","1200708"
"75","3","Alvarães","1300029"
"76","3","Amaturá","1300060"
"77","3","Anamã","1300086"
"78","3","Anori","1300102"
"79","3","Apuí","1300144"
"80","3","Atalaia do Norte","1300201"
"81","3","Autazes","1300300"
"82","3","Barcelos","1300409"
"83","3","Barreirinha","1300508"
"84","3","Benjamin Constant","1300607"
"85","3","Beruri","1300631"
"86","3","Boa Vista do Ramos","1300680"
"87","3","Boca do Acre","1300706"
"88","3","Borba","1300805"
"89","3","Caapiranga","1300839"
"90","3","Canutama","1300904"
"91","3","Carauari","1301001"
"92","3","Careiro","1301100"
"93","3","Careiro da Várzea","1301159"
"94","3","Coari","1301209"
"95","3","Codajás","1301308"
"96","3","Eirunepé","1301407"
"97","3","Envira","1301506"
"98","3","Fonte Boa","1301605"
"99","3","Guajará","1301654"
"100","3","Humaitá","1301704"
"101","3","Ipixuna","1301803"
"102","3","Iranduba","1301852"
"103","3","Itamarati","1301951"
"104","3","Itapiranga","1302009"
"105","3","Japurá","1302108"
"106","3","Juruá","1302207"
"107","3","Jutaí","1302306"
"108","3","Lábrea","1302405"
"109","3","Manacapuru","1302504"
"110","3","Manaquiri","1302553"
"111","3","Manaus","1302603"
"112","3","Manicoré","1302702"
"113","3","Maraã","1302801"
"114","3","Maués","1302900"
"115","3","Nhamundá","1303007"
"116","3","Nova Olinda do Norte","1303106"
"117","3","Novo Airão","1303205"
"118","3","Novo Aripuanã","1303304"
"119","3","Parintins","1303403"
"120","3","Pauini","1303502"
"121","3","Presidente Figueiredo","1303536"
"122","3","Rio Preto da Eva","1303569"
"123","3","Santa Isabel do Rio Negro","1303601"
"124","3","Santo Antônio do Içá","1303700"
"125","3","São Gabriel da Cachoeira","1303809"
"126","3","São Paulo de Olivença","1303908"
"127","3","São Sebastião do Uatumã","1303957"
"128","3","Silves","1304005"
"129","3","Tabatinga","1304062"
"130","3","Tapauá","1304104"
"131","3","Tefé","1304203"
"132","3","Tonantins","1304237"
"133","3","Uarini","1304260"
"134","3","Urucará","1304302"
"135","3","Urucurituba","1304401"
"136","22","Alto Alegre","1400050"
"137","22","Amajari","1400027"
