1;UNIVERSIDADE FEDERAL DE MATO GROSSO;1;1;5103403
2;UNIVERSIDADE DE BRASILIA;1;1;5300108
3;UNIVERSIDADE FEDERAL DE SERGIPE;1;1;2806701
4;UNIVERSIDADE FEDERAL DO AMAZONAS;1;1;1302603
5;UNIVERSIDADE FEDERAL DO PIAUI;1;1;2211001
6;UNIVERSIDADE FEDERAL DE OURO PRETO;1;1;3146107
7;UNIVERSIDADE FEDERAL DE SAO CARLOS;1;1;3548906
8;UNIVERSIDADE FEDERAL DE VICOSA;1;1;3171303
9;UNIVERSIDADE ESTADUAL DE LONDRINA;1;2;4113700
10;PONTIFICIA UNIVERSIDADE CATOLICA DO PARANA;1;4;4106902
11;UNIVERSIDADE CATOLICA DE PERNAMBUCO;1;4;2611606
12;UNIVERSIDADE FEDERAL DO RIO GRANDE;1;1;4315602
13;UNIVERSIDADE DE CAXIAS DO SUL;1;4;4305108
14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;1;4;4318705
15;UNIVERSIDADE CATOLICA DE PETROPOLIS;1;4;3303906
16;UNIVERSIDADE GAMA FILHO;2;4;3304557
17;UNIVERSIDADE FEDERAL DE UBERLANDIA;1;1;3170206
18;UNIVERSIDADE CATOLICA DE PELOTAS;1;4;4314407
19;PONTIFICIA UNIVERSIDADE CATOLICA DE CAMPINAS;1;4;3509502
20;UNIVERSIDADE DE PASSO FUNDO;1;4;4314100
21;PONTIFICIA UNIVERSIDADE CATOLICA DO RIO GRANDE DO SUL;1;4;4314902
22;UNIVERSIDADE PRESBITERIANA MACKENZIE;1;4;3550308
23;UNIVERSIDADE FEEVALE;1;4;4313409
24;UNIVERSIDADE ESTADUAL DE SANTA CRUZ;1;2;2913606
26;ESCOLA NACIONAL DE CIENCIAS ESTATISTICAS;1;1;3304557
27;CENTRO UNIVERSITARIO VALE DO RIO VERDE;1;4;3169307
29;UNIVERSIDADE ESTADUAL DO CEARA;1;2;2304400
30;UNIVERSIDADE JOSE DO ROSARIO VELLANO;1;4;3101607
31;CENTRO DE EDUCACAO TECNICA DA UTRAMIG;1;2;3106200
32;UNIVERSIDADE ESTADUAL DE CIENCIAS DA SAUDE DE ALAGOAS  UNCISAL;1;2;2704302
33;FACULDADE DE TECNOLOGIA DE SOROCABA;1;2;3552205
34;FACULDADE DE TECNOLOGIA DE SAO PAULO;1;2;3550308
35;FACULDADE DE TECNOLOGIA DE AMERICANA;1;2;3501608
36;FACULDADE DE TECNOLOGIA RUBENS LARA;1;2;3548500
37;FACULDADE DE TECNOLOGIA DE JAHU;1;2;3525300
38;UNIVERSIDADE DO ESTADO DO PARA;1;2;1501402
39;INSTITUTO DE TECNOLOGIA DA AMAZONIA;2;2;1302603
40;UNIVERSIDADE DO ESTADO DA BAHIA;1;2;2927408
41;FACULDADE ESTADUAL DE EDUCACAO FISICA DE JACAREZINHO;2;2;4111803
42;FACULDADE ESTADUAL DE DIREITO DO NORTE PIONEIRO;2;2;4111803
43;FUNDACAO UNIVERSIDADE DO ESTADO DE SANTA CATARINA;1;2;4205407
44;FACULDADE DE ENGENHARIA CIVIL DE ITAJUBA;2;4;3132404
45;FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE ITAJUBA;2;4;3132404
46;FACULDADE ESTADUAL DE CIENCIAS ECONOMICAS DE APUCARANA;2;2;4101408
47;UNIVERSIDADE ESTADUAL DE GOIAS;1;2;5201108
54;UNIVERSIDADE ESTADUAL DE CAMPINAS;1;2;3509502
55;UNIVERSIDADE DE SAO PAULO;1;2;3550308
56;UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO;1;2;3550308
57;UNIVERSIDADE ESTADUAL DE MARINGA;1;2;4115200
58;FACULDADE DE DIREITO DE SAO BERNARDO DO CAMPO;1;3;3548708
59;FACULDADE DE DIREITO DE FRANCA;1;3;3516200
60;CENTRO UNIVERSITARIO MUNICIPAL DE FRANCA;1;3;3516200
61;ESCOLA SUPERIOR DE EDUCACAO FISICA DE AVARE;2;3;3504503
62;FACULDADE DE CIENCIAS E LETRAS DE AVARE;2;3;3504503
