1,142A01,Processos Escolares - Tecnológico,0111P013,Processos escolares - Tecnológico,Tecnológico
1,142C01,Pedagogia (Ciências da Educação) - Bacharelado,0113P012,Pedagogia - Bacharelado,Bacharelado
1,142P01,Pedagogia - Licenciatura,0113P011,Pedagogia - Licenciatura,Licenciatura
1,144F12,Licenciatura Interdisciplinar em Ciências Humanas,0188P011,Programas interdisciplinares abrangendo educação - Licenciatura,Licenciatura
1,144F13,Licenciatura Intercultural Indígena - Licenciatura,0113E031,Educação indígena formação de professor - Licenciatura,Licenciatura
1,145F01,Ciências Biológicas - Licenciatura,0114B011,Biologia formação de professor - Licenciatura,Licenciatura
1,145F02,Ciências Naturais - Licenciatura,0114C021,Ciências naturais formação de professor - Licenciatura,Licenciatura
1,145F05,Educação Religiosa - Licenciatura,0114E071,Ensino religioso formação de professor - Licenciatura,Licenciatura
1,145F08,Filosofia - Licenciatura,0114F011,Filosofia formação de professor - Licenciatura,Licenciatura
1,145F09,Física - Licenciatura,0114F021,Física formação de professor - Licenciatura,Licenciatura
1,145F10,Geografia - Licenciatura,0114G011,Geografia formação de professor - Licenciatura,Licenciatura
1,145F11,História - Licenciatura,0114H011,História formação de professor - Licenciatura,Licenciatura
1,145F14,Letras - Língua Estrangeira - Licenciatura,,,
1,145F15,Letras - Língua Portuguesa - Licenciatura,0115L131,Letras português formação de professor - Licenciatura,Licenciatura
1,145F17,Letras - Língua Portuguesa e Estrangeira - Licenciatura,,,
1,145F18,Matemática - Licenciatura,0114M011,Matemática formação de professor - Licenciatura,Licenciatura
1,145F21,Química - Licenciatura,0114Q011,Química formação de professor - Licenciatura,Licenciatura
1,145F24,Ciências Sociais - Licenciatura,0114C031,Ciências sociais formação de professor - Licenciatura,Licenciatura
1,145F28,Libras - Licenciatura,0115L071,Letras língua brasileira de sinais formação de professor - Licenciatura,Licenciatura
1,146F02,Licenciatura Interdisciplinar em Artes (Educação Artística) - Licenciatura,0114A011,Artes formação de professor - Licenciatura,Licenciatura
1,146F04,Artes Visuais - Licenciatura,0114A021,Artes visuais formação de professor - Licenciatura,Licenciatura
1,146F05,Informática - Licenciatura,0114C051,Computação formação de professor - Licenciatura,Licenciatura
1,146F07,Dança - Licenciatura,0114D011,Dança formação de professor - Licenciatura,Licenciatura
1,146F09,Licenciatura Interdisciplinar em Educação no Campo - Licenciatura,0114E021,Educação do campo em áreas de conhecimento da educação básica formação de professor - Licenciatura,Licenciatura
1,146F15,Educação Física - Licenciatura,0114E031,Educação física formação de professor - Licenciatura,Licenciatura
1,146F20,Música - Licenciatura,0114M021,Música formação de professor - Licenciatura,Licenciatura
