"24463","FACULDADE VITORIA EM CRISTO","1","1","RJ"
"24046","FACULDADE DA ASSOCIACAO MEDICA PAULISTA","1","1","SP"
"24530","FACULDADE DA POLICIA MILITAR DE SANTA CATARINA","1","1","SC"
"21998","FACULDADE PANAMERICANA DE ADMINISTRACAO E DIREITO","1","1","PR"
"23242","ESCOLA SUPERIOR SAO JUDAS DE SAO BERNARDO DO CAMPO","1","1","SP"
"23181","FACULDADE INTERCONTINENTAL","1","1","SP"
"22985","FACULDADE TRILOGICA NOSSA SENHORA DE TODOS OS POVOS","1","1","SP"
"23890","FACULDADES INTEGRADAS DE SAUDE E EDUCACAO DO BRASIL","1","1","MT"
"23224","FACULDADE PRESIDENTE DUTRA","1","1","MA"
"23244","INSTITUTO UNIVERSITARIO UNA DE CONSELHEIRO LAFAIETE","1","1","MG"
"23776","FACULDADE DE ENSINO SUPERIOR DO LAGO","1","1","MA"
"24457","FACULDADE PARAISO ARARIPINA","1","1","PE"
"23875","FACULDADE INSTITUTO DE ENSINO SUPERIOR","1","1","GO"
"18039","FACULDADE CAPACITAR","1","1","RS"
"23866","FACULDADE RESULTADOS","1","1","MS"
"24471","FACULDADE ATENAS VALENCA","1","1","BA"
"23381","FACULDADE DE GOVERNANCA ENGENHARIA E EDUCACAO DE SAO PAULO","1","1","SP"
"22866","FACULDADE ASSOCIADA BRASIL  EAD","1","1","SP"
"24300","FACULDADE UNIDA DE SAO PAULO  EAD","1","1","SP"
"24470","FACULDADE DE MEDICINA DO SERTAO","1","1","PE"
"24025","CENTRO DE ENSINO SUPERIOR DE SERRA DOURADA","1","1","SP"
"24026","INSTITUTO DE SERRA DOURADA","1","1","SP"
"24055","FACULDADE FASIPE DE PRIMAVERA","1","1","MT"
"22748","FACULDADES FAMEP","1","1","PI"
"23109","FACULDADE DE CIENCIAS E TECNOLOGIA DE CHAPECO","1","1","SC"
"20584","FACULDADE SANTANA","1","1","PI"
"23723","FACULDADE VOLPE MIELE","1","1","SP"
"22769","GAIA","1","1","SP"
"24287","FACULDADE BIOPARK","1","1","PR"
"23252","ESCOLA SUPERIOR UNA DE ITUMBIARA","1","1","GO"
"24525","CENTRO INTERNACIONAL DE ENSINO EM CIENCIAS E SUAS APLICACOES","1","1","SP"
"23038","FACULDADE DE EDUCACAO E TECNOLOGIA DO ESPIRITO SANTO","1","1","ES"
"24275","FACULDADE UNIFICADA DO ESTADO DE SAO PAULO","1","1","SP"
"22178","FACULDADE PITAGORAS ANHANGUERA DE TRES LAGOAS","1","1","MS"
"23973","CENTRO DE ENSINO SUPERIOR DE ALTAMIRA","1","1","PA"
"22966","FACULDADE INSTITUTO BRASILEIRO DE ENSINO","1","1","MG"
"24066","FACULDADE CRISTA DA CIDADE","1","1","SP"
"17783","FACULDADE DE MEDIACAO IVIA CORNELI","1","1","MG"
"23026","ESCOLA DE SARGENTOS DE LOGISTICA","1","1","RJ"
"18751","FACULDADE MALTA","1","1","PI"
"25157","FACULDADE LUIZ MARIO MOUTINHO","1","1","PE"
"24459","FACULDADE TIRADENTES DE GOIANA","1","1","PE"
"23455","FACULDADE INTEGRADA INSTITUTO SOUZA","1","1","MG"
"24205","FACULDADE SOBERANA DE ARAPIRACA","1","1","AL"
"24700","FACULDADE INSTITUTO RIO DE JANEIRO","1","1","RJ"
"24687","FACULDADE DE MEDICINA ESTACIO DE CASTANHAL","1","1","PA"
"23946","FACULDADE DE TECNOLOGIA E CIENCIAS  FTC JUAZEIRO DO NORTE","1","1","CE"
